week_num,site,year,block,plant_sp,species,common.NAme,tot_flw,avg_flor_area,tot_flor_area,avg_tall_flw,per_tar_cov,tot_hb,tol_syr
31,CRC,2015,1,ASTU,Asclepias tuberosa,Butterfly Milkweed,246.6,0.6646,163.89036,28,35,0,0
28,SWMREC,2016,1,ASTU,Asclepias tuberosa,Butterfly Milkweed,225,0.6646,149.535,54,75,4,0
28,SWMREC,2016,4,ASTU,Asclepias tuberosa,Butterfly Milkweed,2670,0.6646,1774.482,56,70,25,0
28,SWMREC,2016,3,ASTU,Asclepias tuberosa,Butterfly Milkweed,113,0.6646,75.0998,36.5,10,1,0
28,SWMREC,2016,2,ASTU,Asclepias tuberosa,Butterfly Milkweed,624,0.6646,414.7104,48.5,45,4,0
28,CRC,2016,4,ASTU,Asclepias tuberosa,Butterfly Milkweed,7126.4,0.6646,4736.20544,70,90,2,0
28,CRC,2016,3,ASTU,Asclepias tuberosa,Butterfly Milkweed,2665.6,0.6646,1771.55776,44,40,0,0
28,CRC,2016,2,ASTU,Asclepias tuberosa,Butterfly Milkweed,4134.4,0.6646,2747.72224,59.5,75,0,0
28,CRC,2016,1,ASTU,Asclepias tuberosa,Butterfly Milkweed,3318.4,0.6646,2205.40864,53,80,2,1
28,NWMHRC,2016,1,ASTU,Asclepias tuberosa,Butterfly Milkweed,2210,0.6646,1468.766,44.5,65,30,1
28,NWMHRC,2016,4,ASTU,Asclepias tuberosa,Butterfly Milkweed,2247,0.6646,1493.3562,56,30,18,0
28,NWMHRC,2016,2,ASTU,Asclepias tuberosa,Butterfly Milkweed,1394,0.6646,926.4524,49,35,18,0
28,NWMHRC,2016,3,ASTU,Asclepias tuberosa,Butterfly Milkweed,1415.2,0.6646,940.54192,49.5,60,23,0
32,CRC,2015,3,ASTU,Asclepias tuberosa,Butterfly Milkweed,280,0.6646,186.088,43,35,0,0
32,CRC,2015,1,ASTU,Asclepias tuberosa,Butterfly Milkweed,280,0.6646,186.088,30,40,0,1
32,CRC,2015,2,ASTU,Asclepias tuberosa,Butterfly Milkweed,560,0.6646,372.176,51,40,0,0
32,CRC,2015,4,ASTU,Asclepias tuberosa,Butterfly Milkweed,127,0.6646,84.4042,58,70,1,0
29,CRC,2016,2,ASVE,Asclepias verticillata,Whorled Milkweed,1584,0.2032,321.8688,46,50,0,0
29,CRC,2016,4,ASVE,Asclepias verticillata,Whorled Milkweed,504,0.2032,102.4128,57,35,0,1
29,CRC,2016,1,ASVE,Asclepias verticillata,Whorled Milkweed,1123.2,0.2032,228.23424,64,40,0,0
29,CRC,2016,3,ASVE,Asclepias verticillata,Whorled Milkweed,1713.6,0.2032,348.20352,64,80,2,0
29,NWMHRC,2016,3,ASVE,Asclepias verticillata,Whorled Milkweed,285.6,0.2032,58.03392,57,10,0,0
29,NWMHRC,2016,4,ASVE,Asclepias verticillata,Whorled Milkweed,180,0.2032,36.576,50,30,0,0
30,CRC,2016,3,ASVE,Asclepias verticillata,Whorled Milkweed,3757.6,0.2032,763.54432,84,65,0,0
30,CRC,2016,4,ASVE,Asclepias verticillata,Whorled Milkweed,1093.4,0.2032,222.17888,57.5,40,0,0
30,CRC,2016,2,ASVE,Asclepias verticillata,Whorled Milkweed,4666.2,0.2032,948.17184,71,70,0,0
30,CRC,2016,1,ASVE,Asclepias verticillata,Whorled Milkweed,3434.2,0.2032,697.82944,68,45,3,1
30,NWMHRC,2016,1,ASVE,Asclepias verticillata,Whorled Milkweed,369.8,0.2032,75.14336,62,35,1,0
